space_id,block_face,meter_type,rate_type,rate_range,metered_time_limit,lat,long
VW546,600 VIRGIL AVE,Single-Space,FLAT,$1.00,2HR,34.062615,-118.286938
CB3822,801 S SANTEE ST,Single-Space,TOD,$1.00 - $4.00,2HR,34.040251,-118.25319
AE590,701 DUCOMMUN ST,Single-Space,JUMP,$1.00/H - $4.00/10H,10HR,34.051866,-118.231709
CP17,21501 W SHERMAN WAY,Single-Space,FLAT,$1.00,2HR,34.20114,-118.599523
CB4139,1400 S MYRTLE ST,Single-Space,JUMP,$0.50/H - $2.00/10H,10HR,34.031916,-118.257042
WA1590,1701 PICO BLVD,Single-Space,FLAT,$1.00,1HR,34.045261,-118.278072
RA131,8700 W 3RD ST,Single-Space,FLAT,$2.00,30MIN,34.073508,-118.382919
SS170,11501 W SANTA MONICA BLVD,Single-Space,FLAT,$1.00,1HR,34.045007,-118.453499
WW2179,1501 WESTERN AVE,Single-Space,FLAT,$1.00,1HR,34.044929,-118.309123
SG308,1500 N ORANGE GROVE AVE,Single-Space,JUMP,$1.00/H - $4.00/10H,10HR,34.098323,-118.360414
BF388,300 N HAYWORTH AVE,Single-Space,FLAT,$1.00,2HR,34.076404,-118.362571
WW1333,500 WESTERN AVE,Single-Space,FLAT,$1.00,1HR,34.080532,-118.309011
CB2327,600 E PICO BLVD,Single-Space,TOD,$0.50 - $1.00,4HR,34.032931,-118.254419
CB152,1400 S HOPE ST,Single-Space,TOD,$1.50 - $2.00,4HR,34.037728,-118.266685
WU120,401 COLUMBIA AVE,Single-Space,FLAT,$1.00,2HR,34.056672,-118.266051
VH216,2101 HILLHURST AVE,Single-Space,FLAT,$1.00,2HR,34.110501,-118.287534
SS595,12001 S OHIO AVE,Single-Space,FLAT,$1.00,1HR,34.040511,-118.462674
WS251,1901 S WESTWOOD BLVD,Single-Space,FLAT,$1.00,1HR,34.047756,-118.435205
WW186,301 WESTERN AVE,Single-Space,FLAT,$1.00,1HR,34.076913,-118.309255
CB1754,201 E 12TH ST,Single-Space,TOD,$0.50 - $3.00,2HR,34.036697,-118.257883
56492,10768 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,34.05068,-118.433694
HO241,6301 W SELMA AVE,Single-Space,TOD,$0.50 - $1.00,2HR,34.099842,-118.328361
56174,10585 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,34.054452,-118.428846
LM138,7001 W MELROSE AVE,Single-Space,FLAT,$1.00,2HR,34.08352,-118.342993
MM201,601 S DETROIT ST,Single-Space,FLAT,$1.00,2HR,34.06265,-118.34518
WW595,650 ARDMORE AVE,Single-Space,FLAT,$1.00,2HR,34.06013,-118.301922
WU1287,1200 3RD ST,Single-Space,JUMP,$1.00/H - $4.00/10H,10HR,34.057176,-118.259141
VW501,600 COMMONWEALTH AVE,Single-Space,FLAT,$1.00,2HR,34.062398,-118.285549
VN296,14501 W FRIAR ST,Single-Space,FLAT,$1.00,2HR,34.185731,-118.450556
VW301,600 SHATTO PL,Single-Space,FLAT,$1.00,1HR,34.063237,-118.289825
RS113,2801 S ROBERTSON BLVD,Single-Space,FLAT,$1.00,1HR,34.035364,-118.389299
SG222,7800 W SUNSET BLVD,Single-Space,FLAT,$1.00,1HR,34.097954,-118.360851
CB4331,901 S SAN JULIAN ST,Single-Space,FLAT,$0.50,4HR,34.037898,-118.251374
SV307,6300 W SUNSET BLVD,Single-Space,FLAT,$0.50,2HR,34.097893,-118.327505
VN467,14600 W VICTORY BLVD,Single-Space,FLAT,$1.00,2HR,34.186559,-118.451364
CC1256,301 S LOS ANGELES ST,Single-Space,TOD,$0.50 - $3.00,2HR,34.048126,-118.24524
VW1218,3101 6TH ST,Single-Space,FLAT,$1.00,1HR,34.06378,-118.288834
LH219,2401 BROADWAY,Single-Space,FLAT,$1.00,1HR,34.073732,-118.216517
ED664E,900 S CROCKER ST,Single-Space,TOD,$0.50 - $1.50,2HR,34.035477,-118.249801
PR580,5901 W PICO BLVD,Single-Space,FLAT,$1.00,1HR,34.052172,-118.369564
CB4321,201 W 12TH ST,Single-Space,TOD,$0.50 - $1.00,2HR,34.038913,-118.261286
VN963,14401 W VICTORY BLVD,Single-Space,TOD,$0.50 - $1.00,2HR,34.186776,-118.448004
P170,1000 E SWARTHMORE AVE,Single-Space,FLAT,$1.00,2HR,34.047622,-118.525491
CB3586,800 S GRAND AVE,Single-Space,TOD,$1.50 - $2.00,4HR,34.045566,-118.258074
WW2449,3901 BEVERLY BLVD,Single-Space,FLAT,$1.00,2HR,34.076404,-118.293826
MV203B,3800 S GRAND VIEW BLVD,Single-Space,FLAT,$1.00,2HR,34.003272,-118.429868
AE662,100 S ALAMEDA ST,Single-Space,FLAT,$1.00,2HR,34.047393,-118.237953
56243,11032 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,34.04808,-118.442314
CB2383,1200 S SAN PEDRO ST,Single-Space,TOD,$0.50 - $1.00,2HR,34.033266,-118.253514
WU599,700 S UNION DR,Single-Space,FLAT,$1.00,2HR,34.053216,-118.271468
CC283,100 N HOPE ST,Single-Space,TOD,$1.50 - $2.00,4HR-30MIN,34.058146,-118.248071
SV238,1400 N WILCOX AVE,Single-Space,FLAT,$0.50,2HR,34.096457,-118.330928
SVV490,4700 WILLOW BROOK AVE,Single-Space,JUMP,$1.00/H - $4.00/6H,6HR,34.089373,-118.294346
WW177,301 WESTERN AVE,Single-Space,FLAT,$1.00,1HR,34.077914,-118.309257
WF32,8101 W 3RD ST,Single-Space,FLAT,$1.00,2HR,34.072375,-118.367086
WS833,10800 W SANTA MONICA BLVD,Single-Space,FLAT,$1.00,2HR,34.049784,-118.43585
ER81,5000 EAGLE ROCK BLVD,Single-Space,FLAT,$1.00,1HR,34.137467,-118.214386
LH18,200 AVENUE 24,Single-Space,FLAT,$1.00,30MIN,34.073362,-118.21686
CC827,300 N FREMONT AVE,Single-Space,FLAT,$0.50,2HR,34.060191,-118.250191
RS108,2801 S ROBERTSON BLVD,Single-Space,FLAT,$1.00,1HR,34.035774,-118.389188
SL361,3901 FOUNTAIN AVE,Single-Space,FLAT,$1.00,2HR,34.095873,-118.278456
